Road_ID,Length,Number_of_Bends,Traffic_Volume,Accident_Risk
R001,5.2,3,1200,Low
R002,8.7,7,2500,High
R003,3.1,1,800,Low
R004,6.5,4,1800,Medium
R005,10.3,9,3000,High
R006,4.8,2,1500,Low
R007,7.9,6,2200,Medium
R008,2.5,0,600,Low
R009,9.1,8,2800,High
R010,5.7,3,1400,Low
R011,8.3,5,2100,Medium
R012,3.8,1,900,Low
R013,6.9,4,1900,Medium
R014,11.2,10,3200,High
R015,4.5,2,1300,Low
R016,7.6,5,2000,Medium
R017,3.3,1,750,Low
R018,9.8,8,2700,High
R019,5.4,3,1600,Medium
R020,8.9,7,2400,High
R021,2.8,0,700,Low
R022,6.2,4,1700,Medium
R023,10.7,9,3100,High
R024,4.1,2,1100,Low
R025,7.3,5,2300,Medium
R026,3.6,1,850,Low
R027,9.5,8,2600,High
R028,5.9,3,1500,Medium
R029,8.1,6,2200,Medium
R030,3.0,1,780,Low
R031,6.7,4,1850,Medium
R032,10.9,10,3300,High
R033,4.3,2,1250,Low
R034,7.8,6,2150,Medium
R035,2.7,0,650,Low
R036,9.3,8,2750,High
R037,5.5,3,1450,Low
R038,8.5,7,2350,High
R039,3.4,1,820,Low
R040,6.8,4,1950,Medium
R041,11.0,10,3150,High
R042,4.6,2,1350,Low
R043,7.5,5,2050,Medium
R044,3.2,1,770,Low
R045,9.7,8,2900,High
R046,5.6,3,1550,Medium
R047,8.8,7,2450,High
R048,2.9,0,680,Low
R049,6.4,4,1750,Medium
R050,10.5,9,3050,High
